datetime,TIMESTAMP,Month,Day,Year,Hour,Minute,Seconds,wtemp,SPCOND,COND,depth,PH,ODO.,ODO_CONC,CHL_CONC,CHL_RFU,PC_CELLS,PC_RFU,TURB
6/28/2017 14:01,6/28/2017 14:01,6,28,17,14,1,41,21.94,0.137,0.129,0.427,7.58,91.3,7.99,7.3,1.8,2416,0.7,#N/A
6/28/2017 14:03,6/28/2017 14:03,6,28,17,14,3,10,21.93,0.137,0.129,0.93,7.6,91.2,7.99,5.7,1.4,1796,0.5,#N/A
6/28/2017 14:04,6/28/2017 14:04,6,28,17,14,4,39,21.84,0.135,0.127,1.488,7.55,90.7,7.95,5.5,1.4,5950,1.8,#N/A
6/28/2017 14:06,6/28/2017 14:06,6,28,17,14,6,8,21.79,0.135,0.126,1.886,7.53,88.7,7.78,7.3,1.8,4949,1.5,#N/A
6/28/2017 14:07,6/28/2017 14:07,6,28,17,14,7,38,21.22,0.124,0.115,2.406,7.36,79.9,7.09,-2.1,-0.5,1304,0.4,#N/A
6/28/2017 16:01,6/28/2017 16:01,6,28,17,16,1,41,22,0.136,0.129,0.501,7.6,92.3,8.07,6.4,1.6,5852,1.8,#N/A
6/28/2017 16:03,6/28/2017 16:03,6,28,17,16,3,10,22,0.136,0.128,0.954,7.61,92,8.04,9.4,2.3,122,0,#N/A
6/28/2017 16:04,6/28/2017 16:04,6,28,17,16,4,39,22,0.136,0.128,1.422,7.61,91.7,8.01,10.3,2.5,4043,1.2,#N/A
6/28/2017 16:06,6/28/2017 16:06,6,28,17,16,6,8,21.98,0.136,0.128,1.925,7.59,91.5,8,2.1,0.5,3734,1.1,#N/A
6/28/2017 16:07,6/28/2017 16:07,6,28,17,16,7,37,21.98,0.136,0.128,2.443,7.59,91.5,8,4.2,1,671,0.2,#N/A
6/28/2017 18:01,6/28/2017 18:01,6,28,17,18,1,42,22.04,0.136,0.129,0.427,7.63,92.9,8.11,6,1.5,6560,2,#N/A
6/28/2017 18:03,6/28/2017 18:03,6,28,17,18,3,11,22.04,0.137,0.129,0.95,7.64,92.8,8.1,3.4,0.8,1305,0.4,#N/A
6/28/2017 18:04,6/28/2017 18:04,6,28,17,18,4,40,22.04,0.136,0.129,1.434,7.64,92.9,8.11,9.4,2.3,1904,0.6,#N/A
6/28/2017 18:06,6/28/2017 18:06,6,28,17,18,6,9,22.04,0.136,0.129,1.954,7.63,92.5,8.08,6.3,1.5,2486,0.8,#N/A
6/28/2017 18:07,6/28/2017 18:07,6,28,17,18,7,38,22.04,0.136,0.129,2.45,7.63,92.7,8.09,5.4,1.3,5122,1.6,#N/A
6/28/2017 20:01,6/28/2017 20:01,6,28,17,20,1,50,21.98,0.137,0.129,0.49,7.59,91.4,7.99,7.1,1.7,5897,1.8,#N/A
6/28/2017 20:03,6/28/2017 20:03,6,28,17,20,3,19,21.98,0.136,0.128,0.926,7.6,91.5,8,5.9,1.4,2919,0.9,#N/A
6/28/2017 20:04,6/28/2017 20:04,6,28,17,20,4,48,21.98,0.137,0.129,1.427,7.6,91.3,7.98,8,2,529,0.2,#N/A
6/28/2017 20:06,6/28/2017 20:06,6,28,17,20,6,17,21.97,0.136,0.128,1.879,7.58,91.3,7.99,5.9,1.5,3936,1.2,#N/A
6/28/2017 20:07,6/28/2017 20:07,6,28,17,20,7,55,21.97,0.136,0.128,2.478,7.59,91.7,8.02,3.7,0.9,4358,1.3,#N/A
6/28/2017 22:01,6/28/2017 22:01,6,28,17,22,1,41,21.89,0.138,0.13,0.544,7.58,90.5,7.92,8,2,1215,0.4,#N/A
6/28/2017 22:03,6/28/2017 22:03,6,28,17,22,3,10,21.89,0.137,0.129,0.939,7.59,90.4,7.92,6.8,1.7,-331,-0.1,#N/A
6/28/2017 22:04,6/28/2017 22:04,6,28,17,22,4,39,21.88,0.137,0.129,1.408,7.59,90.4,7.92,8.2,2,3765,1.1,#N/A
6/28/2017 22:06,6/28/2017 22:06,6,28,17,22,6,16,21.88,0.137,0.129,1.97,7.6,90.3,7.91,4.6,1.1,-227,-0.1,#N/A
6/28/2017 22:07,6/28/2017 22:07,6,28,17,22,7,45,21.89,0.137,0.129,2.429,7.59,90.3,7.91,5.5,1.3,2557,0.8,#N/A
6/29/2017 0:01,6/29/2017 0:01,6,29,17,0,1,50,21.79,0.137,0.129,0.493,7.5,88.8,7.8,4.8,1.2,3639,1.1,#N/A
6/29/2017 0:03,6/29/2017 0:03,6,29,17,0,3,19,21.79,0.137,0.128,0.924,7.49,88.8,7.79,7.5,1.8,847,0.3,#N/A
6/29/2017 0:04,6/29/2017 0:04,6,29,17,0,4,56,21.8,0.137,0.129,1.476,7.5,88.6,7.77,4.3,1.1,-363,-0.1,#N/A
6/29/2017 0:06,6/29/2017 0:06,6,29,17,0,6,33,21.79,0.137,0.129,1.97,7.48,88.5,7.77,9.5,2.3,1557,0.5,#N/A
6/29/2017 0:07,6/29/2017 0:07,6,29,17,0,8,2,21.79,0.137,0.129,2.418,7.5,88.5,7.77,7.5,1.8,4200,1.3,#N/A
6/29/2017 2:01,6/29/2017 2:01,6,29,17,2,1,50,21.72,0.14,0.131,0.497,7.47,88.4,7.77,4.3,1.1,2610,0.8,#N/A
6/29/2017 2:03,6/29/2017 2:03,6,29,17,2,3,19,21.72,0.14,0.131,0.929,7.47,88.2,7.75,3,0.7,4291,1.3,#N/A
6/29/2017 2:04,6/29/2017 2:04,6,29,17,2,4,56,21.72,0.139,0.13,1.474,7.47,88,7.74,5.3,1.3,3987,1.2,#N/A
6/29/2017 2:06,6/29/2017 2:06,6,29,17,2,6,33,21.72,0.139,0.131,1.967,7.48,88.1,7.75,4.5,1.1,911,0.3,#N/A
6/29/2017 2:07,6/29/2017 2:07,6,29,17,2,8,2,21.72,0.141,0.132,2.417,7.48,88,7.74,3.5,0.9,3341,1,#N/A
6/29/2017 4:01,6/29/2017 4:01,6,29,17,4,1,50,21.64,0.148,0.138,0.514,7.47,87.6,7.71,1.5,0.4,1198,0.4,#N/A
6/29/2017 4:03,6/29/2017 4:03,6,29,17,4,3,18,21.64,0.144,0.134,0.934,7.48,87.6,7.71,5.8,1.4,1667,0.5,#N/A
6/29/2017 4:04,6/29/2017 4:04,6,29,17,4,4,55,21.64,0.147,0.138,1.47,7.48,87.3,7.69,1.9,0.5,1592,0.5,#N/A
6/29/2017 4:06,6/29/2017 4:06,6,29,17,4,6,24,21.64,0.145,0.136,1.91,7.48,87.5,7.7,3.7,0.9,1089,0.3,#N/A
6/29/2017 4:07,6/29/2017 4:07,6,29,17,4,8,1,21.64,0.142,0.133,2.47,7.48,87.5,7.7,5.3,1.3,2116,0.6,#N/A
6/29/2017 6:01,6/29/2017 6:01,6,29,17,6,1,49,21.54,0.148,0.139,0.506,7.48,86.8,7.66,4.5,1.1,3746,1.1,#N/A
6/29/2017 6:03,6/29/2017 6:03,6,29,17,6,3,18,21.54,0.149,0.139,0.942,7.48,86.6,7.64,6,1.5,3336,1,#N/A
6/29/2017 6:04,6/29/2017 6:04,6,29,17,6,4,47,21.54,0.148,0.139,1.422,7.48,86.7,7.65,3.8,0.9,1638,0.5,#N/A
6/29/2017 6:06,6/29/2017 6:06,6,29,17,6,6,16,21.55,0.149,0.139,1.915,7.48,86.5,7.63,6.6,1.6,-853,-0.3,#N/A
6/29/2017 6:07,6/29/2017 6:07,6,29,17,6,7,45,21.55,0.149,0.139,2.415,7.47,86.3,7.61,3.1,0.8,5181,1.6,#N/A
6/29/2017 8:01,6/29/2017 8:01,6,29,17,8,1,41,21.52,0.151,0.141,0.419,7.49,86.8,7.66,2.5,0.6,6521,2,#N/A
6/29/2017 8:03,6/29/2017 8:03,6,29,17,8,3,10,21.52,0.15,0.14,0.939,7.5,86.7,7.65,2.5,0.6,2524,0.8,#N/A
6/29/2017 8:04,6/29/2017 8:04,6,29,17,8,4,39,21.52,0.15,0.14,1.424,7.49,86.3,7.61,7,1.7,3183,1,#N/A
6/29/2017 8:06,6/29/2017 8:06,6,29,17,8,6,8,21.52,0.15,0.14,1.927,7.48,85.9,7.58,3.1,0.8,4622,1.4,#N/A
6/29/2017 8:07,6/29/2017 8:07,6,29,17,8,7,37,21.52,0.151,0.141,2.439,7.48,86.3,7.61,5.6,1.4,3264,1,#N/A
6/29/2017 10:01,6/29/2017 10:01,6,29,17,10,1,41,21.54,0.15,0.141,0.417,7.51,86.9,7.67,1.1,0.3,2870,0.9,#N/A
6/29/2017 10:03,6/29/2017 10:03,6,29,17,10,3,10,21.54,0.151,0.141,0.93,7.51,86.7,7.65,6.3,1.6,1754,0.5,#N/A
6/29/2017 10:04,6/29/2017 10:04,6,29,17,10,4,39,21.53,0.153,0.143,1.447,7.51,87,7.67,6.8,1.7,2318,0.7,#N/A
6/29/2017 10:06,6/29/2017 10:06,6,29,17,10,6,8,21.54,0.155,0.145,1.914,7.5,87.1,7.68,2.7,0.7,6385,1.9,#N/A
6/29/2017 10:07,6/29/2017 10:07,6,29,17,10,7,37,21.54,0.154,0.144,2.428,7.49,86.8,7.65,4.9,1.2,2819,0.9,#N/A
6/29/2017 12:01,6/29/2017 12:01,6,29,17,12,1,41,21.44,0.15,0.139,0.431,7.44,85.9,7.59,7.4,1.8,3269,1,#N/A
6/29/2017 12:03,6/29/2017 12:03,6,29,17,12,3,10,21.41,0.149,0.139,0.936,7.44,85.7,7.58,5.2,1.3,2439,0.7,#N/A
6/29/2017 12:04,6/29/2017 12:04,6,29,17,12,4,39,21.37,0.146,0.136,1.437,7.42,86,7.61,3.6,0.9,2444,0.7,#N/A
6/29/2017 12:06,6/29/2017 12:06,6,29,17,12,6,8,21.36,0.146,0.136,1.933,7.41,85.8,7.59,4.3,1,4225,1.3,#N/A
6/29/2017 12:07,6/29/2017 12:07,6,29,17,12,7,37,21.31,0.143,0.133,2.454,7.38,85.7,7.6,5,1.2,2630,0.8,#N/A
6/29/2017 14:01,6/29/2017 14:01,6,29,17,14,1,41,20.81,0.125,0.115,0.463,7.24,86.5,7.73,5.5,1.4,511,0.2,#N/A
6/29/2017 14:03,6/29/2017 14:03,6,29,17,14,3,10,20.8,0.124,0.114,0.927,7.24,86.1,7.71,7,1.7,-1793,-0.5,#N/A
6/29/2017 14:04,6/29/2017 14:04,6,29,17,14,4,39,20.78,0.124,0.114,1.417,7.2,86.2,7.72,4.5,1.1,-351,-0.1,#N/A
6/29/2017 14:06,6/29/2017 14:06,6,29,17,14,6,8,20.77,0.124,0.114,1.929,7.2,86.3,7.72,6.5,1.6,4105,1.3,#N/A
6/29/2017 14:07,6/29/2017 14:07,6,29,17,14,7,37,20.77,0.123,0.114,2.425,7.2,85.9,7.69,4.5,1.1,1233,0.4,#N/A
6/29/2017 16:01,6/29/2017 16:01,6,29,17,16,1,41,21.05,0.136,0.126,0.439,7.29,88.1,7.84,8,2,1117,0.3,#N/A
6/29/2017 16:03,6/29/2017 16:03,6,29,17,16,3,10,21.06,0.138,0.128,0.933,7.3,88.1,7.84,4.9,1.2,1846,0.6,#N/A
6/29/2017 16:04,6/29/2017 16:04,6,29,17,16,4,39,21.03,0.136,0.126,1.418,7.28,87.7,7.82,4.1,1,5517,1.7,#N/A
6/29/2017 16:06,6/29/2017 16:06,6,29,17,16,6,8,20.99,0.133,0.122,1.925,7.26,87.2,7.77,3.7,0.9,-143,0,#N/A
6/29/2017 16:07,6/29/2017 16:07,6,29,17,16,7,37,20.88,0.127,0.117,2.427,7.23,86.5,7.73,3.9,0.9,4552,1.4,#N/A
6/29/2017 18:01,6/29/2017 18:01,6,29,17,18,1,41,21.3,0.154,0.143,0.438,7.38,89.3,7.91,10.6,2.6,612,0.2,#N/A
6/29/2017 18:03,6/29/2017 18:03,6,29,17,18,3,10,21.27,0.152,0.141,0.942,7.41,89,7.89,9,2.2,2230,0.7,#N/A
6/29/2017 18:04,6/29/2017 18:04,6,29,17,18,4,39,21.27,0.15,0.14,1.43,7.39,88.5,7.85,5,1.2,3526,1.1,#N/A
6/29/2017 18:06,6/29/2017 18:06,6,29,17,18,6,8,21.28,0.151,0.14,1.921,7.39,88.3,7.83,3.9,0.9,3716,1.1,#N/A
