,timestamp,wtemp,depth,odo_conc,chl_conc,chl_rfu,pc_rfu
1,6/28/2017 14:00,21.94,0.5,7.99,7.3,1.8,0.7
2,6/28/2017 16:00,22,0.5,8.07,6.4,1.6,1.8
3,6/28/2017 18:00,22.04,0.5,8.11,6,1.5,2
4,6/28/2017 20:00,21.98,0.5,7.99,7.1,1.7,1.8
5,6/28/2017 22:00,21.89,0.5,7.92,8,2,0.4
6,6/29/2017 0:00,21.79,0.5,7.8,4.8,1.2,1.1
7,6/29/2017 2:00,21.72,0.5,7.77,4.3,1.1,0.8
8,6/29/2017 4:00,21.64,0.5,7.71,1.5,0.4,0.4
9,6/29/2017 6:00,21.54,0.5,7.66,4.5,1.1,1.1
10,6/29/2017 8:00,21.52,0.5,7.66,2.5,0.6,2
11,6/29/2017 10:00,21.54,0.5,7.67,1.1,0.3,0.9
12,6/29/2017 12:00,21.44,0.5,7.59,7.4,1.8,1
13,6/29/2017 14:00,20.81,0.5,7.73,5.5,1.4,0.2
14,6/29/2017 16:00,21.05,0.5,7.84,8,2,0.3
15,6/29/2017 18:00,21.3,0.5,7.91,10.6,2.6,0.2
16,6/29/2017 20:00,21.22,0.5,7.85,3.8,0.9,0.5
17,6/29/2017 22:00,21.14,0.5,7.75,7,1.7,0.7
18,6/30/2017 0:00,21.07,0.5,7.71,4,1,0.7
19,6/30/2017 2:00,20.97,0.5,7.67,5.5,1.4,0.7
20,6/30/2017 4:00,20.95,0.5,7.53,6.2,1.5,1
21,6/30/2017 6:00,20.94,0.5,7.38,1.1,0.3,0.7
22,6/30/2017 8:00,21.01,0.5,7.54,8.6,2.1,0.4
23,6/30/2017 10:00,21.17,0.5,7.62,2.2,0.5,-0.1
24,6/30/2017 12:00,21.54,0.5,8.05,6.2,1.5,1.5
25,6/30/2017 14:00,21.47,0.5,7.89,5.1,1.3,0.8
26,6/30/2017 16:00,21.58,0.5,7.98,6.7,1.7,1.5
27,6/30/2017 18:00,21.63,0.5,7.97,6.1,1.5,0.9
28,6/30/2017 20:00,21.63,0.5,8.18,5.2,1.3,1.1
29,6/30/2017 22:00,21.63,0.5,8.05,4.1,1,0
30,7/1/2017 0:00,21.58,0.5,7.83,5.2,1.3,1.4
31,7/1/2017 2:00,21.54,0.5,7.66,5.5,1.3,0.4
32,7/1/2017 4:00,21.52,0.5,7.91,8.1,2,0.3
33,7/1/2017 6:00,21.47,0.5,7.83,5.2,1.3,1.2
34,7/1/2017 8:00,21.46,0.5,7.48,2.9,0.7,0.5
35,7/1/2017 10:00,21.5,0.5,7.71,6.5,1.6,1.5
36,7/1/2017 12:00,21.69,0.5,8.48,8.7,2.1,1.8
37,7/1/2017 14:00,21.79,0.5,8.86,16.4,4,3.5
38,7/1/2017 16:00,21.84,0.5,8.66,9.9,2.4,2.2
39,7/1/2017 18:00,21.9,0.5,8.48,6.7,1.6,1.6
40,7/1/2017 20:00,21.81,0.5,8.19,5.4,1.3,1.1
41,7/1/2017 22:00,21.73,0.5,7.98,4,1,2
42,7/2/2017 0:00,21.69,0.5,7.77,6.4,1.6,1.1
43,7/2/2017 2:00,21.63,0.5,7.69,6.9,1.7,0.9
44,7/2/2017 4:00,21.55,0.5,7.57,-1.5,-0.4,0.1
45,7/2/2017 6:00,21.46,0.5,7.36,2.8,0.7,0
46,7/2/2017 8:00,21.3,0.5,7.53,4.4,1.1,1.1
47,7/2/2017 10:00,21.36,0.5,7.65,5.1,1.3,1.6
48,7/2/2017 12:00,21.44,0.5,7.76,6.5,1.6,1.8
49,7/2/2017 14:00,21.69,0.5,8.78,11.4,2.8,3.2
50,7/2/2017 16:00,21.97,0.5,8.94,15.1,3.7,2.5
51,7/2/2017 18:00,22.09,0.5,9.77,14.1,3.5,2.2
52,7/2/2017 20:00,22.2,0.5,9.29,6.1,1.5,2.2
53,7/2/2017 22:00,21.98,0.5,8.79,5.2,1.3,0.9
54,7/3/2017 0:00,21.77,0.5,8.67,4.5,1.1,1.5
55,7/3/2017 2:00,21.59,0.5,8.69,11.5,2.8,0.4
56,7/3/2017 4:00,21.33,0.5,8.69,6.6,1.6,1.1
57,7/3/2017 6:00,21.01,0.5,8.61,6.3,1.5,0.2
58,7/3/2017 8:00,20.95,0.5,8.7,7.3,1.8,1.3
59,7/3/2017 10:00,21.01,0.5,8.8,6.4,1.6,0.1
60,7/3/2017 12:00,21.23,0.5,9.22,12,2.9,2
61,7/3/2017 14:00,21.62,0.5,9.46,14.3,3.5,1.7
62,7/3/2017 16:00,21.83,0.5,9.65,14.5,3.6,2
63,7/3/2017 18:00,21.87,0.5,9.51,8,2,1.4
64,7/3/2017 20:00,21.8,0.5,9.4,7.5,1.8,1.1
65,7/3/2017 22:00,21.73,0.5,9.2,7.4,1.8,1.3
66,7/4/2017 0:00,21.63,0.5,9.1,5.6,1.4,0.5
67,7/4/2017 2:00,21.52,0.5,8.95,9.3,2.3,0.5
68,7/4/2017 4:00,21.42,0.5,8.8,6.7,1.7,2.3
69,7/4/2017 6:00,21.32,0.5,8.71,11.2,2.8,1.6
70,7/4/2017 8:00,21.31,0.5,8.74,10.2,2.5,2
71,7/4/2017 10:00,21.69,0.5,9.57,16.5,4,2.7
72,7/4/2017 12:00,21.83,0.5,10.82,24.3,6,4.3
73,7/4/2017 14:00,22.06,0.5,11.25,19.1,4.7,2.8
74,7/4/2017 16:00,23.57,0.5,13.34,29,7.1,5.7
75,7/4/2017 18:00,23,0.5,13.71,15.7,3.8,2.1
76,7/4/2017 20:00,23.42,0.5,13.74,16.8,4.1,3.1
77,7/4/2017 22:00,23.16,0.5,13.85,17.7,4.4,2.2
78,7/5/2017 0:00,23.01,0.5,13.19,18.9,4.6,2.1
79,7/5/2017 2:00,21.98,0.5,10.57,12.8,3.2,2
80,7/5/2017 4:00,21.69,0.5,9.71,13.7,3.4,2.3
81,7/5/2017 6:00,21.47,0.5,9.33,15.2,3.7,2.5
82,7/5/2017 8:00,21.43,0.5,9.59,19.8,4.9,3.5
83,7/5/2017 10:00,21.98,0.5,10.95,18.3,4.5,2.9
84,7/5/2017 12:00,22.92,0.5,12.42,27.1,6.6,5.8
85,7/5/2017 14:00,22.58,0.5,14.41,32.4,7.9,5.7
86,7/5/2017 16:00,23.67,0.5,14.7,28.3,7,4.6
87,7/5/2017 18:00,25.12,0.5,15.17,18.6,4.6,2.6
