"","timestamp","TIMESTAMP_0.5m","RECORD_0.5m","PFL_Counter_0.5m","_CntRS232_0.5m","_RS232Dpt_0.5m","Month_0.5m","Day_0.5m","Year_0.5m","Hour_0.5m","Minute_0.5m","Seconds_0.5m","TMP_0.5m","SPCOND_0.5m","COND_0.5m","DEPTH_0.5m","PH_0.5m","ODO%_0.5m","ODO_CONC_0.5m","CHL_CONC_0.5m","CHL_RFU_0.5m","PC_CELLS_0.5m","PC_RFU_0.5m","TURB_0.5m","Battery_0.5m","ID_0.5m","timestamp_0.5m","depthRound_0.5m","timeRound_0.5m","TIMESTAMP_1.0m","RECORD_1.0m","PFL_Counter_1.0m","_CntRS232_1.0m","_RS232Dpt_1.0m","Month_1.0m","Day_1.0m","Year_1.0m","Hour_1.0m","Minute_1.0m","Seconds_1.0m","TMP_1.0m","SPCOND_1.0m","COND_1.0m","DEPTH_1.0m","PH_1.0m","ODO%_1.0m","ODO_CONC_1.0m","CHL_CONC_1.0m","CHL_RFU_1.0m","PC_CELLS_1.0m","PC_RFU_1.0m","TURB_1.0m","Battery_1.0m","ID_1.0m","timestamp_1.0m","depthRound_1.0m","timeRound_1.0m","TIMESTAMP_1.5m","RECORD_1.5m","PFL_Counter_1.5m","_CntRS232_1.5m","_RS232Dpt_1.5m","Month_1.5m","Day_1.5m","Year_1.5m","Hour_1.5m","Minute_1.5m","Seconds_1.5m","TMP_1.5m","SPCOND_1.5m","COND_1.5m","DEPTH_1.5m","PH_1.5m","ODO%_1.5m","ODO_CONC_1.5m","CHL_CONC_1.5m","CHL_RFU_1.5m","PC_CELLS_1.5m","PC_RFU_1.5m","TURB_1.5m","Battery_1.5m","ID_1.5m","timestamp_1.5m","depthRound_1.5m","timeRound_1.5m","TIMESTAMP_2.0m","RECORD_2.0m","PFL_Counter_2.0m","_CntRS232_2.0m","_RS232Dpt_2.0m","Month_2.0m","Day_2.0m","Year_2.0m","Hour_2.0m","Minute_2.0m","Seconds_2.0m","TMP_2.0m","SPCOND_2.0m","COND_2.0m","DEPTH_2.0m","PH_2.0m","ODO%_2.0m","ODO_CONC_2.0m","CHL_CONC_2.0m","CHL_RFU_2.0m","PC_CELLS_2.0m","PC_RFU_2.0m","TURB_2.0m","Battery_2.0m","ID_2.0m","timestamp_2.0m","depthRound_2.0m","timeRound_2.0m","TIMESTAMP_depthBottom","RECORD_depthBottom","PFL_Counter_depthBottom","_CntRS232_depthBottom","_RS232Dpt_depthBottom","Month_depthBottom","Day_depthBottom","Year_depthBottom","Hour_depthBottom","Minute_depthBottom","Seconds_depthBottom","TMP_depthBottom","SPCOND_depthBottom","COND_depthBottom","DEPTH_depthBottom","PH_depthBottom","ODO%_depthBottom","ODO_CONC_depthBottom","CHL_CONC_depthBottom","CHL_RFU_depthBottom","PC_CELLS_depthBottom","PC_RFU_depthBottom","TURB_depthBottom","Battery_depthBottom","ID_depthBottom","timestamp_depthBottom","depthRound_depthBottom","timeRound_depthBottom","deltaDO","deltaTMP"
"1",2017-06-28 14:00:00,"6/28/2017 14:01",7,2,1,0.427,6,28,17,14,1,41,21.94,0.137,0.129,0.427,7.58,91.3,7.99,7.3,1.8,2416,0.7,NA,"#N/A",1,2017-06-28 14:01:00,0.4,2017-06-28 14:00:00,"6/28/2017 14:03",8,2,1,0.93,6,28,17,14,3,10,21.93,0.137,0.129,0.93,7.6,91.2,7.99,5.7,1.4,1796,0.5,NA,"#N/A",2,2017-06-28 14:03:00,0.9,2017-06-28 14:00:00,"6/28/2017 14:04",9,2,1,1.488,6,28,17,14,4,39,21.84,0.135,0.127,1.488,7.55,90.7,7.95,5.5,1.4,5950,1.8,NA,"#N/A",3,2017-06-28 14:04:00,1.5,2017-06-28 14:00:00,"6/28/2017 14:06",10,2,1,1.886,6,28,17,14,6,8,21.79,0.135,0.126,1.886,7.53,88.7,7.78,7.3,1.8,4949,1.5,NA,"#N/A",4,2017-06-28 14:06:00,1.9,2017-06-28 14:00:00,"6/28/2017 14:07",11,2,1,2.406,6,28,17,14,7,38,21.22,0.124,0.115,2.406,7.36,79.9,7.09,-2.1,-0.5,1304,0.4,NA,"#N/A",5,2017-06-28 14:07:00,2.4,2017-06-28 14:00:00,0.9,0.720000000000002
"2",2017-06-28 16:00:00,"6/28/2017 16:01",12,3,1,0.501,6,28,17,16,1,41,22,0.136,0.129,0.501,7.6,92.3,8.07,6.4,1.6,5852,1.8,NA,"#N/A",6,2017-06-28 16:01:00,0.5,2017-06-28 16:00:00,"6/28/2017 16:03",13,3,1,0.954,6,28,17,16,3,10,22,0.136,0.128,0.954,7.61,92,8.04,9.4,2.3,122,0,NA,"#N/A",7,2017-06-28 16:03:00,1,2017-06-28 16:00:00,"6/28/2017 16:04",14,3,1,1.422,6,28,17,16,4,39,22,0.136,0.128,1.422,7.61,91.7,8.01,10.3,2.5,4043,1.2,NA,"#N/A",8,2017-06-28 16:04:00,1.4,2017-06-28 16:00:00,"6/28/2017 16:06",15,3,1,1.925,6,28,17,16,6,8,21.98,0.136,0.128,1.925,7.59,91.5,8,2.1,0.5,3734,1.1,NA,"#N/A",9,2017-06-28 16:06:00,1.9,2017-06-28 16:00:00,"6/28/2017 16:07",16,3,1,2.443,6,28,17,16,7,37,21.98,0.136,0.128,2.443,7.59,91.5,8,4.2,1,671,0.2,NA,"#N/A",10,2017-06-28 16:07:00,2.4,2017-06-28 16:00:00,0.0700000000000003,0.0199999999999996
"3",2017-06-28 18:00:00,"6/28/2017 18:01",17,4,1,0.427,6,28,17,18,1,42,22.04,0.136,0.129,0.427,7.63,92.9,8.11,6,1.5,6560,2,NA,"#N/A",11,2017-06-28 18:01:00,0.4,2017-06-28 18:00:00,"6/28/2017 18:03",18,4,1,0.95,6,28,17,18,3,11,22.04,0.137,0.129,0.95,7.64,92.8,8.1,3.4,0.8,1305,0.4,NA,"#N/A",12,2017-06-28 18:03:00,1,2017-06-28 18:00:00,"6/28/2017 18:04",19,4,1,1.434,6,28,17,18,4,40,22.04,0.136,0.129,1.434,7.64,92.9,8.11,9.4,2.3,1904,0.6,NA,"#N/A",13,2017-06-28 18:04:00,1.4,2017-06-28 18:00:00,"6/28/2017 18:06",20,4,1,1.954,6,28,17,18,6,9,22.04,0.136,0.129,1.954,7.63,92.5,8.08,6.3,1.5,2486,0.8,NA,"#N/A",14,2017-06-28 18:06:00,2,2017-06-28 18:00:00,"6/28/2017 18:07",21,4,1,2.45,6,28,17,18,7,38,22.04,0.136,0.129,2.45,7.63,92.7,8.09,5.4,1.3,5122,1.6,NA,"#N/A",15,2017-06-28 18:07:00,2.5,2017-06-28 18:00:00,0.0199999999999996,0
"4",2017-06-28 20:00:00,"6/28/2017 20:01",22,5,1,0.49,6,28,17,20,1,50,21.98,0.137,0.129,0.49,7.59,91.4,7.99,7.1,1.7,5897,1.8,NA,"#N/A",16,2017-06-28 20:01:00,0.5,2017-06-28 20:00:00,"6/28/2017 20:03",23,5,1,0.926,6,28,17,20,3,19,21.98,0.136,0.128,0.926,7.6,91.5,8,5.9,1.4,2919,0.9,NA,"#N/A",17,2017-06-28 20:03:00,0.9,2017-06-28 20:00:00,"6/28/2017 20:04",24,5,1,1.427,6,28,17,20,4,48,21.98,0.137,0.129,1.427,7.6,91.3,7.98,8,2,529,0.2,NA,"#N/A",18,2017-06-28 20:04:00,1.4,2017-06-28 20:00:00,"6/28/2017 20:06",25,5,1,1.879,6,28,17,20,6,17,21.97,0.136,0.128,1.879,7.58,91.3,7.99,5.9,1.5,3936,1.2,NA,"#N/A",19,2017-06-28 20:06:00,1.9,2017-06-28 20:00:00,"6/28/2017 20:07",26,5,1,2.478,6,28,17,20,7,55,21.97,0.136,0.128,2.478,7.59,91.7,8.02,3.7,0.9,4358,1.3,NA,"#N/A",20,2017-06-28 20:07:00,2.5,2017-06-28 20:00:00,-0.0299999999999994,0.0100000000000016
"5",2017-06-28 22:00:00,"6/28/2017 22:01",27,6,1,0.544,6,28,17,22,1,41,21.89,0.138,0.13,0.544,7.58,90.5,7.92,8,2,1215,0.4,NA,"#N/A",21,2017-06-28 22:01:00,0.5,2017-06-28 22:00:00,"6/28/2017 22:03",28,6,1,0.939,6,28,17,22,3,10,21.89,0.137,0.129,0.939,7.59,90.4,7.92,6.8,1.7,-331,-0.1,NA,"#N/A",22,2017-06-28 22:03:00,0.9,2017-06-28 22:00:00,"6/28/2017 22:04",29,6,1,1.408,6,28,17,22,4,39,21.88,0.137,0.129,1.408,7.59,90.4,7.92,8.2,2,3765,1.1,NA,"#N/A",23,2017-06-28 22:04:00,1.4,2017-06-28 22:00:00,"6/28/2017 22:06",30,6,1,1.97,6,28,17,22,6,16,21.88,0.137,0.129,1.97,7.6,90.3,7.91,4.6,1.1,-227,-0.1,NA,"#N/A",24,2017-06-28 22:06:00,2,2017-06-28 22:00:00,"6/28/2017 22:07",31,6,1,2.429,6,28,17,22,7,45,21.89,0.137,0.129,2.429,7.59,90.3,7.91,5.5,1.3,2557,0.8,NA,"#N/A",25,2017-06-28 22:07:00,2.4,2017-06-28 22:00:00,0.00999999999999979,0
"6",2017-06-29 00:00:00,"6/29/2017 0:01",32,7,1,0.493,6,29,17,0,1,50,21.79,0.137,0.129,0.493,7.5,88.8,7.8,4.8,1.2,3639,1.1,NA,"#N/A",26,2017-06-29 00:01:00,0.5,2017-06-29 00:00:00,"6/29/2017 0:03",33,7,1,0.924,6,29,17,0,3,19,21.79,0.137,0.128,0.924,7.49,88.8,7.79,7.5,1.8,847,0.3,NA,"#N/A",27,2017-06-29 00:03:00,0.9,2017-06-29 00:00:00,"6/29/2017 0:04",34,7,1,1.476,6,29,17,0,4,56,21.8,0.137,0.129,1.476,7.5,88.6,7.77,4.3,1.1,-363,-0.1,NA,"#N/A",28,2017-06-29 00:04:00,1.5,2017-06-29 00:00:00,"6/29/2017 0:06",35,7,1,1.97,6,29,17,0,6,33,21.79,0.137,0.129,1.97,7.48,88.5,7.77,9.5,2.3,1557,0.5,NA,"#N/A",29,2017-06-29 00:06:00,2,2017-06-29 00:00:00,"6/29/2017 0:07",36,7,1,2.418,6,29,17,0,8,2,21.79,0.137,0.129,2.418,7.5,88.5,7.77,7.5,1.8,4200,1.3,NA,"#N/A",30,2017-06-29 00:07:00,2.4,2017-06-29 00:00:00,0.0300000000000002,0
"7",2017-06-29 02:00:00,"6/29/2017 2:01",37,8,1,0.497,6,29,17,2,1,50,21.72,0.14,0.131,0.497,7.47,88.4,7.77,4.3,1.1,2610,0.8,NA,"#N/A",31,2017-06-29 02:01:00,0.5,2017-06-29 02:00:00,"6/29/2017 2:03",38,8,1,0.929,6,29,17,2,3,19,21.72,0.14,0.131,0.929,7.47,88.2,7.75,3,0.7,4291,1.3,NA,"#N/A",32,2017-06-29 02:03:00,0.9,2017-06-29 02:00:00,"6/29/2017 2:04",39,8,1,1.474,6,29,17,2,4,56,21.72,0.139,0.13,1.474,7.47,88,7.74,5.3,1.3,3987,1.2,NA,"#N/A",33,2017-06-29 02:04:00,1.5,2017-06-29 02:00:00,"6/29/2017 2:06",40,8,1,1.967,6,29,17,2,6,33,21.72,0.139,0.131,1.967,7.48,88.1,7.75,4.5,1.1,911,0.3,NA,"#N/A",34,2017-06-29 02:06:00,2,2017-06-29 02:00:00,"6/29/2017 2:07",41,8,1,2.417,6,29,17,2,8,2,21.72,0.141,0.132,2.417,7.48,88,7.74,3.5,0.9,3341,1,NA,"#N/A",35,2017-06-29 02:07:00,2.4,2017-06-29 02:00:00,0.0299999999999994,0
"8",2017-06-29 04:00:00,"6/29/2017 4:01",42,9,1,0.514,6,29,17,4,1,50,21.64,0.148,0.138,0.514,7.47,87.6,7.71,1.5,0.4,1198,0.4,NA,"#N/A",36,2017-06-29 04:01:00,0.5,2017-06-29 04:00:00,"6/29/2017 4:03",43,9,1,0.934,6,29,17,4,3,18,21.64,0.144,0.134,0.934,7.48,87.6,7.71,5.8,1.4,1667,0.5,NA,"#N/A",37,2017-06-29 04:03:00,0.9,2017-06-29 04:00:00,"6/29/2017 4:04",44,9,1,1.47,6,29,17,4,4,55,21.64,0.147,0.138,1.47,7.48,87.3,7.69,1.9,0.5,1592,0.5,NA,"#N/A",38,2017-06-29 04:04:00,1.5,2017-06-29 04:00:00,"6/29/2017 4:06",45,9,1,1.91,6,29,17,4,6,24,21.64,0.145,0.136,1.91,7.48,87.5,7.7,3.7,0.9,1089,0.3,NA,"#N/A",39,2017-06-29 04:06:00,1.9,2017-06-29 04:00:00,"6/29/2017 4:07",46,9,1,2.47,6,29,17,4,8,1,21.64,0.142,0.133,2.47,7.48,87.5,7.7,5.3,1.3,2116,0.6,NA,"#N/A",40,2017-06-29 04:07:00,2.5,2017-06-29 04:00:00,0.00999999999999979,0
"9",2017-06-29 06:00:00,"6/29/2017 6:01",47,10,1,0.506,6,29,17,6,1,49,21.54,0.148,0.139,0.506,7.48,86.8,7.66,4.5,1.1,3746,1.1,NA,"#N/A",41,2017-06-29 06:01:00,0.5,2017-06-29 06:00:00,"6/29/2017 6:03",48,10,1,0.942,6,29,17,6,3,18,21.54,0.149,0.139,0.942,7.48,86.6,7.64,6,1.5,3336,1,NA,"#N/A",42,2017-06-29 06:03:00,0.9,2017-06-29 06:00:00,"6/29/2017 6:04",49,10,1,1.422,6,29,17,6,4,47,21.54,0.148,0.139,1.422,7.48,86.7,7.65,3.8,0.9,1638,0.5,NA,"#N/A",43,2017-06-29 06:04:00,1.4,2017-06-29 06:00:00,"6/29/2017 6:06",50,10,1,1.915,6,29,17,6,6,16,21.55,0.149,0.139,1.915,7.48,86.5,7.63,6.6,1.6,-853,-0.3,NA,"#N/A",44,2017-06-29 06:06:00,1.9,2017-06-29 06:00:00,"6/29/2017 6:07",51,10,1,2.415,6,29,17,6,7,45,21.55,0.149,0.139,2.415,7.47,86.3,7.61,3.1,0.8,5181,1.6,NA,"#N/A",45,2017-06-29 06:07:00,2.4,2017-06-29 06:00:00,0.0499999999999998,-0.0100000000000016
"10",2017-06-29 08:00:00,"6/29/2017 8:01",52,11,1,0.419,6,29,17,8,1,41,21.52,0.151,0.141,0.419,7.49,86.8,7.66,2.5,0.6,6521,2,NA,"#N/A",46,2017-06-29 08:01:00,0.4,2017-06-29 08:00:00,"6/29/2017 8:03",53,11,1,0.939,6,29,17,8,3,10,21.52,0.15,0.14,0.939,7.5,86.7,7.65,2.5,0.6,2524,0.8,NA,"#N/A",47,2017-06-29 08:03:00,0.9,2017-06-29 08:00:00,"6/29/2017 8:04",54,11,1,1.424,6,29,17,8,4,39,21.52,0.15,0.14,1.424,7.49,86.3,7.61,7,1.7,3183,1,NA,"#N/A",48,2017-06-29 08:04:00,1.4,2017-06-29 08:00:00,"6/29/2017 8:06",55,11,1,1.927,6,29,17,8,6,8,21.52,0.15,0.14,1.927,7.48,85.9,7.58,3.1,0.8,4622,1.4,NA,"#N/A",49,2017-06-29 08:06:00,1.9,2017-06-29 08:00:00,"6/29/2017 8:07",56,11,1,2.439,6,29,17,8,7,37,21.52,0.151,0.141,2.439,7.48,86.3,7.61,5.6,1.4,3264,1,NA,"#N/A",50,2017-06-29 08:07:00,2.4,2017-06-29 08:00:00,0.0499999999999998,0
