,timestamp,wTEMP,CHL_CONC,PC_RFU,windSpeed,windDir
1,6/28/2017 14:00,21.94,7.3,0.7,6.86875,275.25
2,6/28/2017 16:00,22,6.4,1.8,6.30975,274
3,6/28/2017 18:00,22.04,6,2,4.20525,273.425
4,6/28/2017 20:00,21.98,7.1,1.8,4.69025,270.275
5,6/28/2017 22:00,21.89,8,0.4,2.1505,272.35
6,6/29/2017 0:00,21.79,4.8,1.1,2.93175,271.525
7,6/29/2017 2:00,21.72,4.3,0.8,5.36325,276.725
8,6/29/2017 4:00,21.64,1.5,0.4,3.561,275.4
9,6/29/2017 6:00,21.54,4.5,1.1,5.14825,276.375
10,6/29/2017 8:00,21.52,2.5,2,5.2755,277
11,6/29/2017 10:00,21.54,1.1,0.9,5.55425,276.5
12,6/29/2017 12:00,21.44,7.4,1,6.178,276.95
13,6/29/2017 14:00,20.81,5.5,0.2,4.78425,276.525
14,6/29/2017 16:00,21.05,8,0.3,3.479,271.95
15,6/29/2017 18:00,21.3,10.6,0.2,2.82,272
16,6/29/2017 20:00,21.22,3.8,0.5,4.064,271.575
17,6/29/2017 22:00,21.14,7,0.7,1.72575,272.925
18,6/30/2017 0:00,21.07,4,0.7,2.388,272.425
19,6/30/2017 2:00,20.97,5.5,0.7,1.94075,273.275
20,6/30/2017 4:00,20.95,6.2,1,1.071,273.3
21,6/30/2017 6:00,20.94,1.1,0.7,1.68375,272.8
22,6/30/2017 8:00,21.01,8.6,0.4,1.001,273.65
23,6/30/2017 10:00,21.17,2.2,-0.1,3.24675,275.5
24,6/30/2017 12:00,21.54,6.2,1.5,5.84225,276.475
25,6/30/2017 14:00,21.47,5.1,0.8,6.3965,275.825
26,6/30/2017 16:00,21.58,6.7,1.5,2.50125,274.875
27,6/30/2017 18:00,21.63,6.1,0.9,1.106,274.125
28,6/30/2017 20:00,21.63,5.2,1.1,1.84875,273.875
29,6/30/2017 22:00,21.63,4.1,0,1.68325,274.6
30,7/1/2017 0:00,21.58,5.2,1.4,0.95575,273.875
31,7/1/2017 2:00,21.54,5.5,0.4,2.19,274.225
32,7/1/2017 4:00,21.52,8.1,0.3,3.284,274.7
33,7/1/2017 6:00,21.47,5.2,1.2,3.23575,274.7
34,7/1/2017 8:00,21.46,2.9,0.5,4.732,275.8
35,7/1/2017 10:00,21.5,6.5,1.5,2.4625,274.7
36,7/1/2017 12:00,21.69,8.7,1.8,2.631,273.975
37,7/1/2017 14:00,21.79,16.4,3.5,3.88775,272.6
38,7/1/2017 16:00,21.84,9.9,2.2,4.44125,275.15
39,7/1/2017 18:00,21.9,6.7,1.6,5.59275,276.525
40,7/1/2017 20:00,21.81,5.4,1.1,5.16975,276.725
41,7/1/2017 22:00,21.73,4,2,4.64275,276.175
42,7/2/2017 0:00,21.69,6.4,1.1,5.70175,276.3
43,7/2/2017 2:00,21.63,6.9,0.9,5.759,276.025
44,7/2/2017 4:00,21.55,-1.5,0.1,5.06775,276.325
45,7/2/2017 6:00,21.46,2.8,0,3.6215,273.675
46,7/2/2017 8:00,21.3,4.4,1.1,7.134,273.775
47,7/2/2017 10:00,21.36,5.1,1.6,4.35475,274.2
48,7/2/2017 12:00,21.44,6.5,1.8,2.6825,274.85
49,7/2/2017 14:00,21.69,11.4,3.2,0.63425,274.025
50,7/2/2017 16:00,21.97,15.1,2.5,4.88425,274.5
51,7/2/2017 18:00,22.09,14.1,2.2,2.4635,273.3
52,7/2/2017 20:00,22.2,6.1,2.2,0.78775,273.6
53,7/2/2017 22:00,21.98,5.2,0.9,3.049,274.275
54,7/3/2017 0:00,21.77,4.5,1.5,4.7085,275.45
55,7/3/2017 2:00,21.59,11.5,0.4,4.44625,274.6
56,7/3/2017 4:00,21.33,6.6,1.1,7.02275,273.55
57,7/3/2017 6:00,21.01,6.3,0.2,6.07225,273.875
58,7/3/2017 8:00,20.95,7.3,1.3,6.15075,273.775
59,7/3/2017 10:00,21.01,6.4,0.1,6.29,275.025
60,7/3/2017 12:00,21.23,12,2,6.0515,274.725
61,7/3/2017 14:00,21.62,14.3,1.7,5.24925,274.125
62,7/3/2017 16:00,21.83,14.5,2,7.055,274.65
63,7/3/2017 18:00,21.87,8,1.4,6.30925,276.175
64,7/3/2017 20:00,21.8,7.5,1.1,3.66825,273.6
65,7/3/2017 22:00,21.73,7.4,1.3,4.46025,273.325
66,7/4/2017 0:00,21.63,5.6,0.5,4.99675,273.225
67,7/4/2017 2:00,21.52,9.3,0.5,3.8355,273.025
68,7/4/2017 4:00,21.42,6.7,2.3,5.40475,272.75
69,7/4/2017 6:00,21.32,11.2,1.6,4.29825,272.45
70,7/4/2017 8:00,21.31,10.2,2,2.98475,272.5
71,7/4/2017 10:00,21.69,16.5,2.7,0.41,269.525
72,7/4/2017 12:00,21.83,24.3,4.3,0.841,275.1
73,7/4/2017 14:00,22.06,19.1,2.8,3.10025,275.1
74,7/4/2017 16:00,23.57,29,5.7,0.7905,219.725
75,7/4/2017 18:00,23,15.7,2.1,1.48925,274.5
76,7/4/2017 20:00,23.42,16.8,3.1,1.76075,274.1
77,7/4/2017 22:00,23.16,17.7,2.2,1.77325,274.2
78,7/5/2017 0:00,23.01,18.9,2.1,3.23875,274.4
79,7/5/2017 2:00,21.98,12.8,2,3.6955,275.275
80,7/5/2017 4:00,21.69,13.7,2.3,3.2015,274.35
81,7/5/2017 6:00,21.47,15.2,2.5,2.98525,273.75
82,7/5/2017 8:00,21.43,19.8,3.5,3.02825,274.825
83,7/5/2017 10:00,21.98,18.3,2.9,1.0895,270.275
84,7/5/2017 12:00,22.92,27.1,5.8,0.86925,274.9
85,7/5/2017 14:00,22.58,32.4,5.7,1.372,274.875
86,7/5/2017 16:00,23.67,28.3,4.6,2.00325,275.25
87,7/5/2017 18:00,25.12,18.6,2.6,1.61175,275.3
88,7/5/2017 20:00,24.5,18.6,2.3,2.036,274.55
89,7/5/2017 22:00,24.47,10.4,2.7,4.17025,214.525
90,7/6/2017 0:00,24.44,15.5,1.6,5.01875,276.2
91,7/6/2017 2:00,23.39,11.4,1.7,4.15875,275.45
92,7/6/2017 4:00,22.93,14.4,2.1,6.2605,264.375
93,7/6/2017 6:00,22.36,16.1,1.9,6.12275,271.5
94,7/6/2017 8:00,22.39,16.2,3.3,8.585,211.075
95,7/6/2017 10:00,22.74,13.6,3.4,7.17325,221.3
96,7/6/2017 12:00,23.09,15.4,3.9,7.883,278.725
97,7/6/2017 14:00,23.26,15.5,2.5,8.67,278.25
98,7/6/2017 16:00,23.49,13,2.3,8.72,262.775
99,7/6/2017 18:00,23.58,12.2,2.3,7.277,257.175
100,7/6/2017 20:00,23.62,11.3,1.6,5.86025,204.2
101,7/6/2017 22:00,23.56,17.2,2.7,6.0315,230
