VisitDate,Time,Test,CHL,Depth,Lab,FieldID
5/11/1992,1240,Chlorophyll-a,7.64,3,VT,9228005
5/27/1992,1045,Chlorophyll-a,1.95,3,NY,9229002
6/2/1992,1035,Chlorophyll-a,6.7,3,NY,9229004
6/22/1992,1130,Chlorophyll-a,3.35,3,VT,9229013
6/29/1992,1030,Chlorophyll-a,2.35,3,NY,9229015
7/27/1992,1100,Chlorophyll-a,8.8,3,NY,9229021
8/26/1992,1015,Chlorophyll-a,20.37,3,VT,9229041
8/26/1992,1015,Chlorophyll-a,12.56,3,NY,9229041
9/22/1992,1005,Chlorophyll-a,9.38,3,VT,9229054
9/22/1992,1005,Chlorophyll-a,10.17,3,NY,9229054
5/6/1993,1010,Chlorophyll-a,4.9,2.2,NY,9342077
6/28/1993,1215,Chlorophyll-a,8.62,2,NY,9342125
7/7/1993,1525,Chlorophyll-a,7.26,3,NY,9341112
7/21/1993,900,Chlorophyll-a,10.95,3,NY,9341155
8/17/1993,1450,Chlorophyll-a,14.49,3,NY,9341197
8/25/1993,1730,Chlorophyll-a,3.47,3,NY,9341233
10/20/1993,1020,Chlorophyll-a,2.94,3,NY,9342340
10/29/1993,1045,Chlorophyll-a,5.83,2.6,NY,9342359
6/8/1994,1200,Chlorophyll-a,7.32,3,NY,9442493
6/30/1994,1220,Chlorophyll-a,3.13,3,NY,9442517
9/19/1994,1150,Chlorophyll-a,14.17,2.6,NY,9442565
10/4/1994,1300,Chlorophyll-a,4.84,2.4,NY,9442593
10/17/1994,1030,Chlorophyll-a,3.47,3,NY,9441638
5/10/1995,1300,Chlorophyll-a,4.47,3,VT,9542676
5/10/1995,1300,Chlorophyll-a,11.9,3,NY,9542676
5/18/1995,1130,Chlorophyll-a,25.3,3,NY,9541738
5/25/1995,1510,Chlorophyll-a,10.21,3,VT,9542684
6/27/1995,1125,Chlorophyll-a,7.87,3,VT,9541765
6/27/1995,1125,Chlorophyll-a,1.77,3,NY,9541765
7/14/1995,1030,Chlorophyll-a,9.33,3,VT,9542700
8/3/1995,1045,Chlorophyll-a,10.94,3,VT,9542729
8/14/1995,1515,Chlorophyll-a,24.7,2.6,NY,9541810
8/24/1995,1045,Chlorophyll-a,19.68,2.6,VT,9542743
9/15/1995,1010,Chlorophyll-a,29.16,2.2,VT,9542755
9/15/1995,1010,Chlorophyll-a,30.5,2.2,NY,9542755
10/2/1995,1100,Chlorophyll-a,14.4,1.6,VT,9542764
10/2/1995,1100,Chlorophyll-a,20.05,1.6,NY,9542764
10/12/1995,1420,Chlorophyll-a,26.1,2.8,NY,9541876
5/28/1996,1621,Chlorophyll-a,11.8,,NY,9641132
6/13/1996,1225,Chlorophyll-a,7.32,3,VT,9641184
6/13/1996,1225,Chlorophyll-a,12,3,NY,9641184
6/25/1996,1315,Chlorophyll-a,2.69,3,VT,9641307
6/25/1996,1315,Chlorophyll-a,4,3,NY,9641307
7/10/1996,1330,Chlorophyll-a,11.71,3,VT,9641229
7/10/1996,1330,Chlorophyll-a,5,3,NY,9641229
7/25/1996,1015,Chlorophyll-a,10.54,3,VT,9641258
7/25/1996,1015,Chlorophyll-a,5,3,NY,9641258
