SAMPLING_DATE,Time,Test,CHL,Depth,Lab,FieldID
5/19/1992,1400,Chlorophyll-a,6.2,6,NY,9228027
6/4/1992,1520,Chlorophyll-a,4.22,5.4,NY,9228051
6/24/1992,1345,Chlorophyll-a,5.21,6,NY,9228068
7/8/1992,1300,Chlorophyll-a,5.7,6,NY,9228076
7/21/1992,1310,Chlorophyll-a,4.46,6,NY,9228092
8/4/1992,1315,Chlorophyll-a,10.29,4.6,NY,9228119
8/19/1992,1320,Chlorophyll-a,11.47,4.6,NY,9228149
9/1/1992,1445,Chlorophyll-a,2.27,4,NY,9228155
9/15/1992,1430,Chlorophyll-a,13.2,4.2,NY,9229047
10/13/1992,1420,Chlorophyll-a,7.13,5,NY,9229076
5/6/1993,1340,Chlorophyll-a,17.07,3,NY,9342080
5/26/1993,1230,Chlorophyll-a,10.3,5,NY,9341089
7/7/1993,1930,Chlorophyll-a,3.39,6,NY,9341121
8/17/1993,1315,Chlorophyll-a,14.49,6,NY,9341194
9/1/1993,1140,Chlorophyll-a,22.22,4,NY,9341246
9/20/1993,1530,Chlorophyll-a,9.5,5.2,NY,9341290
10/15/1993,1350,Chlorophyll-a,6.82,6,NY,9342333
5/27/1994,1303,Chlorophyll-a,8.69,6,NY,9441446
6/8/1994,1010,Chlorophyll-a,3.1,6,NY,9442490
6/15/1994,1500,Chlorophyll-a,3.41,5,NY,9441476
6/27/1994,1500,Chlorophyll-a,3.97,6,NY,9441486
7/14/1994,1320,Chlorophyll-a,10.3,5.2,NY,9441512
7/27/1994,1319,Chlorophyll-a,26.85,3.2,NY,9441519
9/19/1994,1330,Chlorophyll-a,2.85,3.6,NY,9442566
9/21/1994,1545,Chlorophyll-a,6.57,5,NY,9441604
10/17/1994,1430,Chlorophyll-a,4.71,5.4,NY,9441647
5/18/1995,1600,Chlorophyll-a,3.89,5.8,VT,9542682
6/5/1995,1330,Chlorophyll-a,4.86,5,VT,9541749
7/5/1995,1530,Chlorophyll-a,2.1,6,VT,9541773
7/27/1995,1130,Chlorophyll-a,3.11,6,VT,9542724
8/14/1995,1630,Chlorophyll-a,22.1,3.4,NY,9541811
8/23/1995,1500,Chlorophyll-a,9.91,3.2,VT,9542742
9/14/1995,1140,Chlorophyll-a,7.78,5,VT,9542753
9/21/1995,1400,Chlorophyll-a,1.81,5.6,VT,9542762
10/13/1995,1030,Chlorophyll-a,0.87,6,VT,9542774
5/15/1996,1300,Chlorophyll-a,13,4,NY,9641093
5/28/1996,1707,Chlorophyll-a,10,,NY,9641138
6/13/1996,1400,Chlorophyll-a,2.78,6,VT,9641185
6/26/1996,1200,Chlorophyll-a,4.1,6,VT,9641209
7/11/1996,1100,Chlorophyll-a,6.73,4.6,VT,9641230
7/18/1996,1100,Chlorophyll-a,9,4,NY,9641339
7/26/1996,1145,Chlorophyll-a,11.71,4.4,VT,9641260
8/1/1996,1545,Chlorophyll-a,12,4,NY,9641369
8/8/1996,1240,Chlorophyll-a,3.9,5.6,VT,9641288
8/19/1996,1350,Chlorophyll-a,13,4,NY,9641387
8/22/1996,1210,Chlorophyll-a,12.29,4.2,VT,9641402
9/3/1996,1630,Chlorophyll-a,10,4,NY,9641502
9/5/1996,1250,Chlorophyll-a,2.73,5.2,VT,9641420
9/6/1996,935,Chlorophyll-a,13.7,5,NY,9641858
9/19/1996,1215,Chlorophyll-a,3.71,4,VT,9641435
9/25/1996,1110,Chlorophyll-a,12,6,NY,9641891
10/15/1996,1512,Chlorophyll-a,10.5,6,NY,9641955
10/16/1996,1140,Chlorophyll-a,6.15,6,VT,9641454
5/20/1997,1030,Chlorophyll-a,7.27,4.4,VT,9742094
5/29/1997,1552,Chlorophyll-a,4.07,6,NY,9741107
6/3/1997,1025,Chlorophyll-a,3.87,6,NY,9742110
6/11/1997,1230,Chlorophyll-a,2.18,6,VT,9742127
6/19/1997,1425,Chlorophyll-a,3.31,4.2,NY,9741145
6/20/1997,1335,Chlorophyll-a,4.18,4.6,VT,9742140
6/24/1997,1006,Chlorophyll-a,4.68,6,NY,9741200
7/8/1997,1445,Chlorophyll-a,6.82,6,VT,9742161
7/16/1997,1335,Chlorophyll-a,10.6,5.6,NY,9741267
7/22/1997,1013,Chlorophyll-a,9.56,6,NY,9741318
7/24/1997,1300,Chlorophyll-a,4.71,4.6,VT,9742205
8/7/1997,1235,Chlorophyll-a,7.82,3.2,VT,9742222
8/18/1997,1030,Chlorophyll-a,27.5,2.8,NY,9741349
8/26/1997,1006,Chlorophyll-a,13.1,6,NY,9741422
8/26/1997,1215,Chlorophyll-a,7.85,5,NY,9742265
9/16/1997,1345,Chlorophyll-a,23.18,3.4,VT,9742302
9/22/1997,1431,Chlorophyll-a,29.1,2.6,NY,9741665
10/6/1997,1525,Chlorophyll-a,12.1,5.2,NY,9741702
10/16/1997,1130,Chlorophyll-a,7.36,4.6,VT,9742354
4/30/1998,1415,Chlorophyll-a,5.29,5.8,VT,9842051
5/13/1998,1215,Chlorophyll-a,5.88,6,NY,9841063
5/19/1998,1445,Chlorophyll-a,2.82,6,VT,9842069
6/8/1998,1720,Chlorophyll-a,5.1,4.8,NY,9841090
6/22/1998,1310,Chlorophyll-a,6.71,6,VT,9842138
7/7/1998,1145,Chlorophyll-a,36.59,5.6,NY,9841135
7/8/1998,1150,Chlorophyll-a,6,6,VT,9842168
7/21/1998,1345,Chlorophyll-a,3.35,6,VT,9842201
7/30/1998,1440,Chlorophyll-a,6.65,4,NY,9841149
8/4/1998,1130,Chlorophyll-a,3.53,6,VT,9842223
8/21/1998,1350,Chlorophyll-a,11.47,4.4,VT,9842257
8/26/1998,1515,Chlorophyll-a,10.53,4,NY,9841176
9/9/1998,1315,Chlorophyll-a,15,2.8,VT,9842292
9/17/1998,1555,Chlorophyll-a,19.07,4.6,NY,9841196
9/30/1998,1110,Chlorophyll-a,5.74,2.4,VT,9842333
4/21/1999,1415,Chlorophyll-a,5.09,6,VT,9942046
5/7/1999,1015,Chlorophyll-a,3.83,6,NY,9941025
5/19/1999,1100,Chlorophyll-a,6.06,4.4,VT,9942068
6/3/1999,1345,Chlorophyll-a,4.12,5.8,VT,9942095
6/4/1999,1540,Chlorophyll-a,3.23,5,NY,9941064
6/23/1999,1140,Chlorophyll-a,2.67,6,VT,9942119
7/1/1999,1340,Chlorophyll-a,3.9,6,NY,9941088
7/14/1999,1045,Chlorophyll-a,7.03,6,VT,9942132
7/27/1999,1240,Chlorophyll-a,7.7,6,NY,9941106
8/12/1999,1435,Chlorophyll-a,18.95,6,NY,9941133
8/20/1999,1440,Chlorophyll-a,31.51,3.8,VT,9942189
8/30/1999,1300,Chlorophyll-a,77.57,2.4,VT,9942202
9/1/1999,1235,Chlorophyll-a,22.19,4,NY,9941152
9/21/1999,1340,Chlorophyll-a,23.03,3.2,VT,9942230
10/15/1999,1120,Chlorophyll-a,19.39,4,VT,9942258
5/2/2000,1050,Chlorophyll-a,22.44,3,VT,200042198
5/22/2000,1530,Chlorophyll-a,15.2,3.8,NY,200041092
5/26/2000,1120,Chlorophyll-a,5.27,5.2,VT,200042267
6/12/2000,1400,Chlorophyll-a,4,6,VT,200042297
6/20/2000,1515,Chlorophyll-a,2.58,,NY,200041123
6/26/2000,1340,Chlorophyll-a,7.45,6,VT,200042312
7/12/2000,1500,Chlorophyll-a,7.64,6,VT,200042336
7/19/2000,1535,Chlorophyll-a,10.12,5,NY,200041154
7/25/2000,1100,Chlorophyll-a,2.73,6,VT,200042363
8/10/2000,1250,Chlorophyll-a,52.73,2,VT,200042393
8/16/2000,1345,Chlorophyll-a,19.57,,NY,200041202
8/22/2000,1315,Chlorophyll-a,53.82,2.4,VT,200042414
9/5/2000,1420,Chlorophyll-a,26.91,3.8,VT,200042432
9/26/2000,1235,Chlorophyll-a,13.64,4,VT,200042450
6/20/2001,1200,Chlorophyll-a,4.4,6,VT,200142182
7/5/2001,1055,Chlorophyll-a,5.04,5.2,VT,200142210
7/9/2001,1440,Chlorophyll-a,9.39,6,VT,200141204
